date,product_id,product_name,quantity,unit_price,total_sales,category
2024-01-01,P001,Laptop HP,12,899.99,10799.88,Électronique
2024-01-02,P001,Laptop HP,8,899.99,7199.92,Électronique
2024-01-03,P001,Laptop HP,15,899.99,13499.85,Électronique
2024-01-04,P001,Laptop HP,10,899.99,8999.90,Électronique
2024-01-05,P001,Laptop HP,18,899.99,16199.82,Électronique
2024-01-06,P001,Laptop HP,22,899.99,19799.78,Électronique
2024-01-07,P001,Laptop HP,25,899.99,22499.75,Électronique
2024-01-08,P001,Laptop HP,14,899.99,12599.86,Électronique
2024-01-09,P001,Laptop HP,11,899.99,9899.89,Électronique
2024-01-10,P001,Laptop HP,9,899.99,8099.91,Électronique
2024-01-11,P001,Laptop HP,13,899.99,11699.87,Électronique
2024-01-12,P001,Laptop HP,20,899.99,17999.80,Électronique
2024-01-13,P001,Laptop HP,28,899.99,25199.72,Électronique
2024-01-14,P001,Laptop HP,30,899.99,26999.70,Électronique
2024-01-15,P001,Laptop HP,16,899.99,14399.84,Électronique
2024-01-16,P001,Laptop HP,12,899.99,10799.88,Électronique
2024-01-17,P001,Laptop HP,10,899.99,8999.90,Électronique
2024-01-18,P001,Laptop HP,14,899.99,12599.86,Électronique
2024-01-19,P001,Laptop HP,19,899.99,17099.81,Électronique
2024-01-20,P001,Laptop HP,24,899.99,21599.76,Électronique
2024-01-21,P001,Laptop HP,27,899.99,24299.73,Électronique
2024-01-22,P001,Laptop HP,15,899.99,13499.85,Électronique
2024-01-23,P001,Laptop HP,11,899.99,9899.89,Électronique
2024-01-24,P001,Laptop HP,9,899.99,8099.91,Électronique
2024-01-25,P001,Laptop HP,13,899.99,11699.87,Électronique
2024-01-26,P001,Laptop HP,21,899.99,18899.79,Électronique
2024-01-27,P001,Laptop HP,26,899.99,23399.74,Électronique
2024-01-28,P001,Laptop HP,29,899.99,26099.71,Électronique
2024-01-29,P001,Laptop HP,17,899.99,15299.83,Électronique
2024-01-30,P001,Laptop HP,12,899.99,10799.88,Électronique
2024-01-31,P001,Laptop HP,10,899.99,8999.90,Électronique
2024-02-01,P001,Laptop HP,14,899.99,12599.86,Électronique
2024-02-02,P001,Laptop HP,18,899.99,16199.82,Électronique
2024-02-03,P001,Laptop HP,23,899.99,20699.77,Électronique
2024-02-04,P001,Laptop HP,28,899.99,25199.72,Électronique
2024-02-05,P001,Laptop HP,16,899.99,14399.84,Électronique
2024-02-06,P001,Laptop HP,11,899.99,9899.89,Électronique
2024-02-07,P001,Laptop HP,9,899.99,8099.91,Électronique
2024-02-08,P001,Laptop HP,12,899.99,10799.88,Électronique
2024-02-09,P001,Laptop HP,17,899.99,15299.83,Électronique
2024-02-10,P001,Laptop HP,22,899.99,19799.78,Électronique
2024-02-11,P001,Laptop HP,26,899.99,23399.74,Électronique
2024-02-12,P001,Laptop HP,15,899.99,13499.85,Électronique
2024-02-13,P001,Laptop HP,11,899.99,9899.89,Électronique
2024-02-14,P001,Laptop HP,32,899.99,28799.68,Électronique
2024-02-15,P001,Laptop HP,14,899.99,12599.86,Électronique
2024-02-16,P001,Laptop HP,19,899.99,17099.81,Électronique
2024-02-17,P001,Laptop HP,24,899.99,21599.76,Électronique
2024-02-18,P001,Laptop HP,27,899.99,24299.73,Électronique
2024-02-19,P001,Laptop HP,13,899.99,11699.87,Électronique
2024-02-20,P001,Laptop HP,10,899.99,8999.90,Électronique
2024-02-21,P001,Laptop HP,8,899.99,7199.92,Électronique
2024-02-22,P001,Laptop HP,12,899.99,10799.88,Électronique
2024-02-23,P001,Laptop HP,18,899.99,16199.82,Électronique
2024-02-24,P001,Laptop HP,23,899.99,20699.77,Électronique
2024-02-25,P001,Laptop HP,28,899.99,25199.72,Électronique
2024-02-26,P001,Laptop HP,15,899.99,13499.85,Électronique
2024-02-27,P001,Laptop HP,11,899.99,9899.89,Électronique
2024-02-28,P001,Laptop HP,9,899.99,8099.91,Électronique
2024-02-29,P001,Laptop HP,13,899.99,11699.87,Électronique
2024-03-01,P001,Laptop HP,16,899.99,14399.84,Électronique
2024-03-02,P001,Laptop HP,21,899.99,18899.79,Électronique
2024-03-03,P001,Laptop HP,25,899.99,22499.75,Électronique
2024-03-04,P001,Laptop HP,14,899.99,12599.86,Électronique
2024-03-05,P001,Laptop HP,10,899.99,8999.90,Électronique
2024-03-06,P001,Laptop HP,8,899.99,7199.92,Électronique
2024-03-07,P001,Laptop HP,11,899.99,9899.89,Électronique
2024-03-08,P001,Laptop HP,17,899.99,15299.83,Électronique
2024-03-09,P001,Laptop HP,22,899.99,19799.78,Électronique
2024-03-10,P001,Laptop HP,27,899.99,24299.73,Électronique
2024-03-11,P001,Laptop HP,15,899.99,13499.85,Électronique
2024-03-12,P001,Laptop HP,11,899.99,9899.89,Électronique
2024-03-13,P001,Laptop HP,9,899.99,8099.91,Électronique
